customer_id,name,birthdate,region_id,customer_segment_id,customer_type
97,Quý ông Minh Phạm,1989-05-26,2,1,Individual
98,Lâm Mai Bảo Hoàng,2001-10-09,2,2,Individual
99,Anh Anh Dương,2000-08-22,2,1,Individual
100,Khoa Mai,2002-09-25,1,2,Individual
101,Phúc Hữu Mai,1980-12-20,2,1,Individual
102,Bà Nhật Lê,1990-08-20,2,1,Individual
103,Thành Thế Nguyễn,1986-12-20,1,1,Individual
104,An Dương,1997-05-28,3,2,Individual
105,Vũ Hữu Bùi,1999-08-04,1,1,Individual
106,Cô Linh Lê,1980-06-11,2,2,Individual
107,Hạnh Quang Vũ,1984-07-28,3,1,Individual
108,Quý ông Nam Dương,2004-08-21,3,1,Individual
109,Dũng Phú Đặng,2001-06-15,3,1,Individual
110,Bà Hải Phạm,1972-12-10,3,1,Individual
111,Quý cô An Trần,2002-03-27,3,1,Individual
112,Ông Nhiên Phạm,1974-04-17,2,2,Individual
113,Anh Huy Bùi,1987-10-08,3,1,Individual
114,Thành Nguyễn,1970-01-22,2,2,Individual
115,Khoa Tấn Mai,2003-08-10,2,1,Individual
116,Nhật Hoàng,2004-01-04,3,2,Individual
117,Quý cô Hà Phạm,2001-03-20,3,1,Individual
118,Cô Hải Đặng,1989-11-08,3,2,Individual
119,Nhật Bùi,1970-04-11,2,2,Individual
120,Lâm Quang Nguyễn,1991-07-25,2,1,Individual
121,Bảo Phạm,1971-11-25,3,1,Individual
122,Vi Bùi,1991-07-02,2,1,Individual
123,Ngọc Phạm,1971-11-08,2,2,Individual
124,Dũng Trí Trần,1989-08-03,2,2,Individual
125,Bà Bảo Phạm,1982-07-30,1,1,Individual
126,Ông Nhiên Bùi,2006-07-05,3,1,Individual
127,Quý cô Thành Mai,1988-08-29,3,2,Individual
128,Quý cô Phương Mai,1988-10-11,3,1,Individual
129,Nhiên Đức Hoàng,1981-12-01,3,1,Individual
130,Phương Lê,1984-11-28,1,2,Individual
131,Nhiên Mai Bảo Lê,1973-02-24,2,2,Individual
132,Phúc Phạm,2000-06-12,1,2,Individual
133,Ánh Dương,1999-10-31,3,1,Individual
134,Chi Hoàng,1977-03-18,2,1,Individual
135,Kim Lê,1992-01-20,3,1,Individual
136,Khoa Hoàng,1980-03-19,2,2,Individual
137,Kim Đặng,1992-04-14,2,1,Individual
138,Bảo Mai Nguyễn,1989-06-19,2,2,Individual
139,Bác Hưng Mai,1976-12-29,1,2,Individual
140,Tùng Mai,1982-10-18,1,2,Individual
141,An Mai Bảo Nguyễn,1989-02-03,2,1,Individual
142,Phúc Mai,2000-08-16,1,2,Individual
143,Cô Yến Phạm,1975-03-22,3,2,Individual
144,Hương Trần,1987-02-14,2,1,Individual
145,Huy Đặng,1972-11-04,1,2,Individual
146,Kim Hoàng,1969-04-20,1,2,Individual
147,Châu Bùi,1972-03-01,1,1,Individual
148,Chị Ngọc Hoàng,2002-09-08,2,1,Individual
149,Dũng Mai,1999-12-15,2,1,Individual
150,Cô Lâm Nguyễn,1967-07-14,2,1,Individual
151,Quý cô Hải Nguyễn,1996-09-09,3,1,Individual
152,Hạnh Bùi,1977-12-04,1,1,Individual
153,Hải Thế Bùi,1967-10-10,1,1,Individual
154,Hải Hải Trần,2003-10-19,1,2,Individual
155,Thành Mai,1983-08-10,2,2,Individual
156,Phương Trần,1997-04-20,3,2,Individual
157,Thảo Mai,2006-05-01,3,2,Individual
158,Quý cô Nhật Đặng,1974-04-22,1,2,Individual
159,Hà Hoàng,1978-11-23,2,2,Individual
160,Cô Hạnh Đặng,1993-08-07,1,2,Individual
161,Ngọc Phạm,1978-07-30,1,2,Individual
162,Chị Hà Vũ,1968-10-30,2,2,Individual
163,Châu Nguyễn,1992-04-20,1,1,Individual
164,Anh Tú Phạm,1979-02-04,1,2,Individual
165,Cô Dương Nguyễn,1974-05-16,1,1,Individual
166,Quý cô Mai Dương,1986-04-13,3,1,Individual
167,Hà Hữu Dương,1992-11-27,2,2,Individual
168,Chị Nhật Phạm,1973-03-19,1,2,Individual
169,Tùng Mai Trần,1995-03-21,2,1,Individual
170,Bác Tùng Phạm,1984-04-22,3,1,Individual
171,Cô Vi Đặng,2002-07-08,2,2,Individual
172,Bà Kim Nguyễn,1992-01-10,3,2,Individual
173,Châu Vũ,1968-10-20,1,2,Individual
174,Phúc Hữu Vũ,1984-02-23,1,1,Individual
175,Hải Tấn Dương,1970-01-10,1,1,Individual
176,Bà Ánh Phạm,1979-02-02,2,1,Individual
177,Trung Hoàng Nguyễn,1999-03-17,2,2,Individual
178,Kim Mai Hoàng,1980-03-27,2,2,Individual
179,Cô An Hoàng,1985-07-15,1,1,Individual
180,Quý ông Trọng Đặng,1970-01-29,2,1,Individual
181,Hà Đặng,1974-05-28,3,1,Individual
182,Hưng Vũ,1976-05-18,3,2,Individual
183,Ông Huy Đặng,1981-01-15,2,2,Individual
184,Bảo Mai Bảo Hoàng,1992-09-10,1,1,Individual
185,Chị Kim Phạm,2007-01-14,3,1,Individual
186,Nhật Đức Hoàng,1991-10-11,2,1,Individual
187,Cô Thảo Dương,1987-05-08,3,2,Individual
188,Anh Bảo Dương,1995-03-12,3,1,Individual
189,Quý cô Lan Đặng,1987-02-18,3,2,Individual
190,Anh Tú Hoàng,2002-10-30,3,2,Individual
191,Huy Đức Trần,1986-05-19,1,1,Individual
192,Hải Đặng,1991-07-27,3,2,Individual
193,Khoa Nguyễn,1980-11-23,2,1,Individual
194,Hạnh Văn Nguyễn,1990-05-26,3,1,Individual
195,Ngọc Lê,1989-12-09,3,2,Individual
196,Linh Nguyễn,1966-07-08,1,2,Individual
197,Chị Bảo Vũ,1992-02-14,3,2,Individual
198,Nhật Hải Nguyễn,1977-08-01,3,2,Individual
199,Quý cô Ánh Đặng,1987-11-04,3,1,Individual
200,Bà Bảo Đặng,2002-05-06,1,2,Individual
201,Quý cô Xuân Lê,1990-12-27,2,1,Individual
202,Lâm Lê,1994-11-13,3,1,Individual
203,Quang Phạm,1970-12-06,1,2,Individual
204,Khoa Trí Dương,1996-09-24,1,2,Individual
205,Chị Bảo Phạm,1983-01-22,3,1,Individual
206,Quý cô Hạnh Bùi,1999-10-22,1,2,Individual
207,Quý ông Hưng Vũ,2005-01-10,2,2,Individual
208,Khoa Nguyễn,2002-02-07,2,1,Individual
209,Cô Hạnh Vũ,1984-07-18,2,2,Individual
210,Hồng Đặng,1995-11-08,1,2,Individual
211,Phúc Hoàng Vũ,1971-07-17,1,1,Individual
212,Cô Chi Vũ,1976-02-12,2,1,Individual
213,Bà Duyên Trần,1980-07-22,3,1,Individual
214,Chi Vũ,1981-02-10,2,2,Individual
215,Quý ông Anh Bùi,1979-10-17,3,2,Individual
216,Bà Lâm Nguyễn,1978-06-16,1,2,Individual
217,Anh Nhiên Đặng,1995-07-23,3,1,Individual
218,Ánh Vũ,2005-11-02,2,1,Individual
219,Bà Hồng Phạm,1992-09-11,3,1,Individual
220,Bác Trung Đặng,1971-02-16,3,2,Individual
221,Bảo Đặng,1972-01-24,3,1,Individual
222,Hạnh Đức Hoàng,1980-09-30,3,1,Individual
223,Vi Bùi,1968-06-17,1,2,Individual
224,Lâm Nguyễn,1995-11-27,1,1,Individual
225,Kim Trần,1978-06-24,1,2,Individual
226,Duyên Nguyễn,1979-07-31,2,1,Individual
227,Bác Trọng Lê,1991-07-20,3,1,Individual
228,Linh Nguyễn,1978-03-19,1,2,Individual
229,Vũ Hoàng Vũ,1986-08-04,1,2,Individual
230,Chị Mai Bùi,1988-08-23,1,1,Individual
231,Xuân Trần,1971-12-05,2,1,Individual
232,Duyên Đặng,1982-09-03,1,1,Individual
233,Anh Vũ Vũ,1984-02-10,1,2,Individual
234,Hà Bảo Dương,1988-08-24,2,1,Individual
235,Kim Hoàng Trần,1988-09-26,1,1,Individual
236,Phúc Nguyễn,1981-10-20,1,2,Individual
237,Nam Lê,1979-02-09,3,2,Individual
238,Ông Nam Hoàng,1972-06-15,2,1,Individual
239,Hạnh Mai Dương,1970-06-01,2,2,Individual
240,Châu Mai,1974-09-18,1,2,Individual
241,Quý ông Quang Bùi,1995-04-27,1,2,Individual
242,Trọng Tấn Trần,1993-02-25,2,1,Individual
243,Bác Tú Phạm,1978-09-11,2,1,Individual
244,Hà Trí Hoàng,1983-02-28,1,1,Individual
245,Khoa Văn Đặng,1986-07-13,2,2,Individual
246,Quý cô Nhật Trần,1991-10-28,1,1,Individual
247,Bác Hoàng Mai,1979-06-24,2,1,Individual
248,Hà Đặng,1990-10-09,1,1,Individual
249,Phương Thị Vũ,1991-01-12,2,2,Individual
250,An Lê,1967-10-18,1,1,Individual
251,Nhật Xuân Nguyễn,1988-03-05,2,1,Individual
252,Thành Đức Vũ,1986-01-31,2,1,Individual
253,Vi Dương,1999-12-30,3,1,Individual
254,Lâm Bùi,1973-09-03,1,2,Individual
255,Quý cô Thảo Bùi,1996-03-04,3,2,Individual
256,Anh Huy Dương,2001-10-03,1,2,Individual
257,Xuân Nguyễn,1987-11-06,2,1,Individual
258,Chị Nhật Mai,2001-11-15,1,1,Individual
259,Anh Trọng Dương,1982-01-20,3,1,Individual
260,Xuân Nguyễn,1975-06-11,3,2,Individual
261,Nhật Hoàng,1983-05-01,1,1,Individual
262,Dương Trần,1973-08-23,2,1,Individual
263,Ông Anh Nguyễn,1972-07-11,2,1,Individual
264,Hải Phạm,1985-03-24,1,1,Individual
265,Cô Khoa Đặng,1988-11-08,2,1,Individual
266,Linh Mai,1975-06-21,1,2,Individual
267,Bảo Trần,1992-03-11,1,2,Individual
268,Nhật Trí Nguyễn,2004-05-01,2,1,Individual
269,Nhật Dương,1983-06-23,2,2,Individual
270,Chi Trần,2005-09-12,3,1,Individual
271,Hoàng Phạm,1984-02-12,3,1,Individual
272,Nam Đặng,1989-03-02,2,1,Individual
273,Cô Hải Dương,1977-08-26,1,2,Individual
274,Tùng Đặng,1987-12-27,1,1,Individual
275,Nhật Thị Mai,1988-08-28,1,1,Individual
276,Ông Vũ Phạm,1968-12-02,1,1,Individual
277,Quý cô Hà Vũ,1985-03-30,1,2,Individual
278,Kim Hải Hoàng,1983-06-24,3,1,Individual
279,Nhật Hoàng Dương,2005-05-13,3,1,Individual
280,Hồng Trần,2005-02-06,3,2,Individual
281,Bảo Đặng,1990-07-08,3,2,Individual
282,Thành Dương,1994-07-17,1,1,Individual
283,Châu Hoàng,2005-02-09,3,1,Individual
284,Bảo Dương,2000-12-24,1,2,Individual
285,Vân Lê,1966-10-24,3,1,Individual
286,Tùng Trần,2001-12-18,3,1,Individual
287,Cô Linh Phạm,1978-06-05,1,2,Individual
288,Bác Thành Phạm,1983-01-31,2,2,Individual
289,Nhật Phạm,1972-01-11,1,1,Individual
290,Nhiên Nguyễn,1974-11-10,1,2,Individual
291,Bà Kim Lê,1987-09-14,3,2,Individual
292,Kim Nguyễn,1982-05-12,1,2,Individual
293,Cô Duyên Trần,1997-08-06,1,1,Individual
294,Vân Nguyễn,1985-10-14,2,2,Individual
295,Bà Nhật Bùi,2003-12-03,2,1,Individual
296,Cô Chi Mai,1993-07-27,3,1,Individual
297,Bác Trung Phạm,1994-04-02,1,2,Individual
298,Chị Phương Phạm,2001-07-26,1,1,Individual
299,Trọng Bùi,1980-11-06,3,1,Individual
300,Yến Hoàng,2000-01-09,1,1,Individual
301,Nam Bùi,1977-11-06,3,2,Individual
302,Hương Hoàng,1997-07-25,3,2,Individual
303,Cô Hạnh Vũ,2006-10-09,2,2,Individual
304,Quý cô Thảo Bùi,1986-08-30,1,2,Individual
305,Quý ông Hoàng Vũ,2001-11-21,3,2,Individual
306,Kim Phạm,1967-10-29,1,1,Individual
307,Lâm Đức Hoàng,2004-04-23,3,2,Individual
308,Vi Nguyễn,2000-05-25,1,1,Individual
309,Bà Duyên Dương,1980-02-16,1,1,Individual
310,Lâm Thị Nguyễn,1967-11-30,1,1,Individual
311,Quý cô Hương Nguyễn,1988-08-13,1,2,Individual
312,Ngọc Bùi,1989-01-22,2,2,Individual
313,Bà Lan Mai,1975-03-18,2,1,Individual
314,Chi Vũ,1969-06-20,2,1,Individual
315,Bà Linh Mai,2007-04-04,2,1,Individual
316,Quý ông Khoa Vũ,1993-09-06,3,2,Individual
317,Hải Phạm,1999-11-01,2,2,Individual
318,Nhật Bảo Dương,2005-12-10,1,1,Individual
319,Khoa Vũ,1999-11-12,3,2,Individual
320,Phương Vũ,1972-04-21,2,1,Individual
321,Nam Xuân Nguyễn,1994-01-26,3,1,Individual
322,Trọng Phú Phạm,1980-12-30,3,2,Individual
323,Vi Lê,1967-03-11,3,2,Individual
324,Bảo Đức Vũ,1987-04-02,3,1,Individual
325,Hải Đặng,2002-04-12,3,2,Individual
326,Quý cô Nhật Vũ,1980-01-11,2,1,Individual
327,Hương Bùi,1980-02-24,1,1,Individual
328,Khoa Xuân Đặng,2000-08-31,2,1,Individual
329,Mai Vũ,1973-01-04,1,2,Individual
330,Bảo Tấn Hoàng,1975-12-21,3,1,Individual
331,Chị Vân Vũ,1981-02-01,2,1,Individual
332,Quý cô Lan Phạm,1978-10-20,2,2,Individual
333,Anh Quang Dương,1973-03-04,2,2,Individual
334,Bác Tú Hoàng,1991-12-06,3,1,Individual
335,Hương Mai,1968-11-15,3,2,Individual
336,Hưng Hoàng Lê,1979-12-27,2,2,Individual
337,Chị Hạnh Đặng,2006-11-05,3,1,Individual
338,Cô Mai Dương,1997-07-05,1,2,Individual
339,Quý cô Hạnh Lê,1971-01-26,1,2,Individual
340,Tùng Mai,1977-03-02,1,2,Individual
341,Anh Huy Lê,1990-11-30,1,1,Individual
342,Bác Hoàng Bùi,1978-08-21,3,1,Individual
343,Hoàng Bùi,1979-06-18,3,1,Individual
344,Quý cô Thảo Lê,1992-07-09,1,2,Individual
345,Minh Hải Đặng,1974-07-01,3,2,Individual
346,Nhật Đức Bùi,1986-05-23,1,1,Individual
347,Quý cô Thành Nguyễn,1981-06-15,1,1,Individual
348,Cô Hồng Vũ,1995-10-14,1,1,Individual
349,Nhiên Vũ,2001-12-16,2,1,Individual
350,Trung Đức Đặng,1984-02-12,2,1,Individual
351,Cô Hương Vũ,2003-03-04,1,2,Individual
352,Bác Quang Phạm,2006-11-09,1,1,Individual
353,Phương Đặng,1991-11-05,2,1,Individual
354,Bà Lan Hoàng,1965-06-27,2,1,Individual
355,Chị Lâm Trần,1973-03-16,1,2,Individual
356,Anh Minh Vũ,2005-08-03,3,1,Individual
357,Vũ Đức Hoàng,2005-10-17,2,1,Individual
358,Bác Dũng Bùi,1977-01-26,1,2,Individual
359,Lan Dương,1999-12-22,3,2,Individual
360,Cô Kim Hoàng,1991-09-03,2,1,Individual
361,Cô An Mai,1973-02-13,3,2,Individual
362,Nam Đức Trần,1989-08-16,2,1,Individual
363,Tú Tấn Bùi,1990-11-24,2,2,Individual
364,Quý cô Mai Trần,1986-08-22,2,2,Individual
365,Bà Bảo Đặng,1977-06-24,1,1,Individual
366,Minh Đức Bùi,1980-08-15,1,1,Individual
367,Quý cô Kim Dương,1968-04-20,1,1,Individual
368,Trung Xuân Bùi,2005-06-29,2,1,Individual
369,Ông Trung Bùi,1986-03-19,2,2,Individual
370,Mai Bùi,2007-03-03,2,1,Individual
371,Khoa Hoàng,2003-02-06,2,1,Individual
372,Nam Mai,1971-06-25,3,1,Individual
373,Bảo Văn Đặng,1976-10-27,2,1,Individual
374,Hồng Hoàng,1969-02-16,3,2,Individual
375,Bà Hương Nguyễn,1995-06-13,1,2,Individual
376,Minh Hoàng,1967-10-22,2,1,Individual
377,Bác Minh Đặng,2004-09-13,1,2,Individual
378,Anh Trung Lê,1972-01-31,3,2,Individual
379,Thảo Đặng,1974-01-17,1,1,Individual
380,Chị Mai Dương,2001-06-01,1,1,Individual
381,Hà Đặng,1979-09-04,1,1,Individual
382,Yến Bùi,1996-02-12,3,2,Individual
383,Quý cô Bảo Vũ,1997-01-08,3,2,Individual
384,Linh Lê,1995-12-05,1,1,Individual
385,Vũ Mai Phạm,1993-07-09,2,2,Individual
386,Bà Phương Bùi,1998-07-05,3,1,Individual
387,Anh Bảo Bùi,2004-01-20,1,2,Individual
388,Thành Đặng,1980-02-17,3,2,Individual
389,Huy Phú Nguyễn,2006-10-04,2,2,Individual
390,Minh Tấn Trần,1993-09-15,3,2,Individual
391,Nhật Đặng,1993-08-26,3,1,Individual
392,Trung Phạm,1996-09-12,1,1,Individual
393,Quý ông Thành Lê,1999-04-29,2,1,Individual
394,Chị Duyên Bùi,1986-02-06,1,2,Individual
395,Trọng Phạm,1974-04-22,2,2,Individual
396,Quang Vũ,1967-08-20,1,1,Individual
397,Anh Thành Mai,1981-07-21,2,2,Individual
398,Kim Vũ,1990-04-08,3,1,Individual
399,Thảo Nguyễn,1980-05-13,2,1,Individual
400,Hải Nguyễn,1980-04-25,2,2,Individual
401,Quý cô Vân Bùi,1970-09-20,2,2,Individual
402,Ông Dũng Lê,1995-09-02,1,2,Individual
403,Quang Bùi,1966-09-28,2,2,Individual
404,Lan Phạm,1994-09-23,3,1,Individual
405,Bà An Đặng,1983-07-06,1,2,Individual
406,Bảo Đức Nguyễn,1967-10-16,1,1,Individual
407,Khoa Vũ,1984-03-16,1,2,Individual
408,Anh Quang Nguyễn,1993-12-15,3,2,Individual
409,Hưng Phạm,1967-08-24,3,1,Individual
410,Cô Mai Phạm,1987-10-05,2,2,Individual
411,Nhật Mai,1996-02-03,3,1,Individual
412,Trung Xuân Đặng,1979-10-06,1,1,Individual
413,Bảo Mai,1974-06-28,3,2,Individual
414,Chị An Hoàng,2003-06-07,1,1,Individual
415,Hà Mai Mai,2001-08-03,1,1,Individual
416,Duyên Vũ,1992-05-14,3,2,Individual
417,Quý cô Thảo Trần,1985-03-22,3,1,Individual
418,Bác Hưng Đặng,1989-07-04,3,2,Individual
419,Chị Bảo Nguyễn,1997-12-05,1,1,Individual
420,Khoa Bùi,1988-09-20,1,2,Individual
421,Bác Tùng Bùi,1995-08-03,1,2,Individual
422,Nam Vũ,1974-11-19,2,1,Individual
423,Huy Mai,1995-11-28,3,2,Individual
424,Yến Nguyễn,1994-11-20,2,1,Individual
425,Anh Dũng Trần,1990-03-27,3,2,Individual
426,Cô Kim Mai,2006-01-28,1,2,Individual
427,Bà Thành Hoàng,1995-08-21,1,2,Individual
428,Chị Lâm Vũ,1990-03-23,1,2,Individual
429,Trung Hoàng,2003-11-04,1,1,Individual
430,Yến Bùi,1976-09-09,1,2,Individual
431,Tùng Mai,1999-08-02,2,2,Individual
432,Tùng Thị Dương,2005-04-10,2,2,Individual
433,Anh Đặng,1974-02-07,1,2,Individual
434,Bà Lâm Dương,1975-09-01,2,2,Individual
435,Duyên Đặng,2002-01-12,3,2,Individual
436,Nhật Quang Đặng,1973-11-20,3,2,Individual
437,Chị Lâm Mai,1999-07-15,3,2,Individual
438,Ông Nam Đặng,1972-02-09,3,2,Individual
439,Hoàng Mai Bảo Hoàng,2006-02-18,3,1,Individual
440,An Vũ,1982-12-21,3,2,Individual
441,Cô Dương Dương,1973-09-08,3,2,Individual
442,Linh Mai,1983-04-07,1,2,Individual
443,Bảo Lê,1965-09-03,2,2,Individual
444,Phương Mai,1989-11-19,2,2,Individual
445,Ông Hoàng Lê,1978-07-12,1,2,Individual
446,Quang Trần,1996-03-21,2,1,Individual
447,Khoa Đức Phạm,1969-10-24,1,1,Individual
448,Linh Nguyễn,1996-11-02,1,2,Individual
449,Anh Hoàng Dương,1997-05-04,1,2,Individual
450,Chị Chi Dương,1969-04-26,3,2,Individual
451,Ông Tú Bùi,1979-04-30,3,1,Individual
452,Thảo Mai,1998-09-09,2,2,Individual
453,Cô Linh Dương,1967-12-21,1,2,Individual
454,Bà Bảo Lê,1978-04-19,2,1,Individual
455,Hương Lê,1972-04-04,3,1,Individual
456,Hạnh Vũ,1989-09-20,2,2,Individual
457,Ông Phúc Lê,1998-01-05,2,1,Individual
458,Hạnh Xuân Lê,1984-01-16,2,1,Individual
459,Lâm Tấn Hoàng,1983-08-11,1,2,Individual
460,Quý cô Kim Lê,1968-01-26,3,2,Individual
461,Châu Bùi,1975-08-17,1,2,Individual
462,Quang Nguyễn,1968-05-17,1,1,Individual
463,Anh Mai Bảo Trần,1998-08-19,3,1,Individual
464,Thành Mai,1993-04-06,1,2,Individual
465,Anh Quang Vũ,1979-09-24,3,2,Individual
466,Quý ông Huy Vũ,1980-06-28,1,2,Individual
467,Chị Lan Hoàng,1974-01-21,1,1,Individual
468,Bà Dương Phạm,1969-08-30,3,2,Individual
469,Anh Anh Đặng,1991-11-08,1,1,Individual
470,Cô Nhật Trần,1971-05-28,3,2,Individual
471,Hạnh Dương,1967-07-27,3,2,Individual
472,Chị An Dương,1967-01-08,3,1,Individual
473,Anh Nhiên Hoàng,1966-06-23,3,1,Individual
474,Thành Mai Bảo Hoàng,1975-10-03,2,2,Individual
475,Ánh Phạm,1978-05-19,3,2,Individual
476,An Bảo Nguyễn,1971-01-21,2,1,Individual
477,Phương Hoàng,1967-04-24,3,2,Individual
478,Vi Phạm,1981-04-06,2,1,Individual
479,Bảo Phú Mai,1969-11-20,1,1,Individual
480,Ông Hưng Dương,1967-03-27,2,2,Individual
481,Phương Mai,2001-02-09,2,1,Individual
482,Thành Quang Bùi,1990-09-15,1,1,Individual
483,Chị Yến Hoàng,1967-05-30,1,1,Individual
484,Chị Thảo Hoàng,2003-07-19,1,1,Individual
485,Khoa Phạm,1983-02-09,1,1,Individual
486,Cô Vi Mai,1977-12-05,1,2,Individual
487,Vũ Đức Nguyễn,1978-06-21,2,1,Individual
488,Bác Minh Trần,1998-07-11,3,2,Individual
489,Chị Duyên Vũ,2001-07-18,2,1,Individual
490,Thành Trần,1970-02-10,1,1,Individual
491,Chị Ngọc Mai,1995-09-29,1,2,Individual
492,Cô Hà Bùi,1993-02-04,2,1,Individual
493,Bà Hà Nguyễn,1986-01-11,1,2,Individual
494,Nhật Đức Hoàng,1994-04-19,3,2,Individual
495,Bà Thành Trần,1980-09-25,2,1,Individual
496,Quang Mai Lê,1982-06-14,2,1,Individual
497,Chị Thành Bùi,1991-04-19,2,2,Individual
498,Phúc Lê,1984-11-14,2,1,Individual
499,Thành Phạm,1986-10-30,1,1,Individual
500,Bà Khoa Nguyễn,1989-07-27,3,1,Individual
501,Chị Yến Vũ,1984-03-10,3,2,Individual
502,Cô Vi Vũ,1971-02-26,3,2,Individual
503,Tú Lê,2001-12-23,2,2,Individual
504,Thành Quang Hoàng,1992-01-01,2,2,Individual
